q13_text,q14_text,q15_text,q16_text,q17_text
nao sei.,nao sei o negocio e justiça.,por justiça.,por justiça.,por justiça.
"porque não tinha opção para ""nenhum"".  acho que essa é uma atitude que jamais deve ser tomada, não é direito de ngm pagar com violência a violência recebida.  isso cabe à justiça resolver.","porque não tinha opção para ""nenhum"".  acho que essa é uma atitude que jamais deve ser tomada, não é direito de ngm pagar com violência a violência recebida.  isso cabe à justiça resolver.","porque não tinha opção para ""nenhum"".  acho que essa é uma atitude que jamais deve ser tomada, não é direito de ngm pagar com violência a violência recebida.  isso cabe à justiça resolver.","porque não tinha opção para ""nenhum"".  acho que essa é uma atitude que jamais deve ser tomada, não é direito de ngm pagar com violência a violência recebida.  isso cabe à justiça resolver.","porque não tinha opção para ""nenhum"".  acho que essa é uma atitude que jamais deve ser tomada, não é direito de ngm pagar com violência a violência recebida.  isso cabe à justiça resolver."
crime de estupro é hediondo e deveria ter pena aumentada para o agressor.,"apesar dos dois casos serem crimes horríveis, o caso 1 foi praticado por pessoa da vizinhança, o que não justifica o caso 2.",pedofilia é o pior crime de todos.,"ninguém tem o direito de tirar a vida de outra pessoa, quanto mais de uma criança.",crime hediondo digno de linchamento.
por não ter a opção nenhuma das respostas,por não ter a opção nenhuma das respostas,por não ter a opção nenhuma das respostas,por não ter a opção nenhuma das respostas,por não ter a opção nenhuma das respostas
porque não tinha opção. mas nada justifica um linchamento,"falta de opção, e pela vítima ser mais fraca",por ter molestado,por fazer isso com alguém indefeso. mas nada justifica linchamento,por ter tirado a vida de alguém. mas não justifica um linchamento
NA,NA,NA,NA,NA
o homem é mais propício em cometer crimes,NA,NA,NA,NA
porque acho que é o mais coeerente,NA,NA,NA,NA
"na verdade eu marquei um, por falta de opção. eu não concordo com linchamento em hipótese alguma",idem acima,idem acima,idem acima,linchamento em qualquer situação é inaceitável
"pq mts dos homens são impiedosos, são carnais e entendem que detem o poder sobre td","são impiedosos, não tem princípios morais e eticos","tem instinto assassino, é doente mental","usurpadores, sem moral","abuso em menores, é crimonoso, xadrez"
tirou a vida de uma pessoa dos familiares,estupro sem perdão,assassinato é um crime bárbaro,geralmente as gangues não perdoam estupradores,a justiça é cega
no momento da raiva perdemos o nosso raciocínio e agimos,todos nós tentamos nos defender de qualquer agressões ninguém tem o direito de nos inportunar cada ação tem uma reação,é muito difícil vc viver honestamente e vir um idiota nos perturbar  precisa ser punido,ninguém tem o direito de infernizar a vida de ninguém,a pesar de ser contra a qualquer tipo de agressões mais cada um procura receber o seu pagamento  bateu levou
por ser uma criança,assassinato,a vitima é uma criança,a vitima é uma criança,a vitima é uma criança
crime contra idoso,vítima idoso ou criança,idoso ou criança,adolescente,idoso
molestar uma criança é injustificável,gangues são um mal da sociedade,gangues são muito agressivas,a revolta da população quando vê um crime de violência doméstica,molestar é um crime terrível
por se tratar de morar em favela e ser negro.,NA,por ser idoso e ser linchado por policiais que é uma das nossas realidades.,NA,não estou tendo opção para ver os casos 2.
tem que haver punição,estupro é um crime muito grave,são crimes hediondos,não podem ficar impune,são crimes hediondos
porque tem que ser punido,nao pode ficar impune,tem que ser punido,para nao ficar esqucido,para ter respeito
por ser feito pelos familiares...,linchamento feito pela polícia é um linchamento oficial.,era uma criança ... isso provoca comoção.,assassinato tem um peso maior.,estupro de uma senhora idosa...
porque estuprou,porque vai se4 um futuro bandido,assassinato,molestou,"
bandicoot"
assassinato,assassinato,assassinato,assassinato,crime contra idoso
nesse caso não há justificativa pra linchamento.,NA,"estupro é um crime muito pesado, mais teria que ter uma outra maneira de agir.",políciais devem zelar pela vida e não incentivar outro crime.,"muito sério isso, tem que haver um mediador."
"assassinato é pior que furto, porque tive que escolher um",NA,NA,NA,NA
"porque as crianças precisam de carinho e proteção maior da sociedade, da família  e do estado.","porque o idoso precisa de atenção e proteção da sociedade, da família e do estado.",apenas porque discordo de gangues.,não concordo com o assassinato de mulheres.,"porque a criança deve ser protegida pela sociedade, a família e o estado."
por tratar-se de um adulto,pela vitima ser idosa,por ter cometido assassinato,por ter cometido assassinato,pela vitima ser idosa
"sou totalmente contra, mas o estupro é um crime horrível","por causa do estupro, só que o linchamento é inaceitável",porque não é a criança,não sei,por ser um assassinato
sou contrário a qualquer linchamento.,sou contrário a qualquer linchamento.,sou contrário a qualquer linchamento.,sou contrário a qualquer linchamento.,sou contrário a qualquer linchamento.
porque nao entendi muiyo bem a perguntar,nao entendi ainda essa pergunta,conyinuo sem entwnder,pergunta sem.nexo,porque eunquis
NA,NA,NA,NA,NA
acho indesculpável o crime de estrupo.,"momento de dor, toda ação tem uma reação",sempre sou contra estrupo,não tolero estrupo,è horripilante crime contra criança
esse assunto e polemico pois so sabe essa resposta e quem sofreu na familia um crime dessa natureza,na pergunta nâo apresenta  um crime que justifica o linchamento mas se o agressor cometeu um crime barbaro sou afavor do linchamento,NA,molestou esse crime a pessoa sofre enquanto viver,policia
porque geralmente o criminoso e do sexo masculino.,porque geralmente furtam carros.,porque qualquer tipo de maldade com uma criança é injustificável pois se trata de seres indefesos.,porque eu não aceito em hipótese alguma qualquer tipo de mais tratos com crianças.,pelo fato de ter molestado alguém. isso causa danos irreparáveis.
porque molestou,molestou,crime contra idoso,molestou,idoso
porque sim,porque sim,porque sim,porque sim,orque sim
principalmente porque o caso envolve criança.,casos como este são tratados com muita complacência pelas autoridades.,só nos casos de reincidência dos crimes.,casos que envolvem idosos são sempre revoltantes também.,são casos nojentos praticados por pessoas insanas.
"nenhum dos casos justifica linchamento, questionario tendencioso demais","nenhum dos casos justifica linchamento, questionario tendencioso demais","nenhum dos casos justifica linchamento, questionario tendencioso demais","nenhum dos casos justifica linchamento, questionario tendencioso demais","nenhum dos casos justifica linchamento, questionario tendencioso demais"
escolhi mas não tenho certeza.,mora no bairro,roubo de carro,assassinato,molestou um idoso
quis saber,não ttenho,não sei,não sei,não sei
não sei,não sei,não sei,não sei,não sei
nao concordo com nenhum linchamento mas no segundo caso o criminoso é um adulto e a vítima uma criança,devido a vitima ser uma criança porém acho que policia não tem que matar e sim prender a não ser em casos que também são recebidos a tiros,por a vítima ser idosa porém não justifica o linchamento,idoso indefeso,"crime mais grave, assassinou"
assassino tem que morrer,com adolescente não tem perdão,estuprou? morte!,molestou? morte!,assassino não pode se ter piedade
"ambos casos caberia linchamento.
não sou a favor da violência,  entretanto, a justiça no brasil nao funciona.
no caso de deter o sujeito e chamar a policia, ele seria encaminhado a delegacia e liberado em seguida sem problema algum... e, ainda, retornaria ao mesmo local para completar o crime pois quer vingança... 

como os juizes estão muito flexiveis e a lei possui muitas entre-linhas, a lei do olho-por-olho esta voltando aos poucos","ambos casos, novamente, cabe o linchamento.
entretanto, achei o segundo caso mais sujo e desonesto.
","achei melhor. 
na verdade a policia não poderia realizar o linchamento.
a policia por lei precisa seguir as regras pois se trata de seu trabalho.
agora os moradores do local que foram prejudicados ou conheciam a vítima, possuem o direito de revolta. e em alguns casos, por exemplo (criminoso com vasta ficha,  já conhecido, sabe-se que não vai acontecer nada com ele na delegacia) a policia deveria  relevar e deixar",a revolta da vizinhança tem mais significado...,"neste caso ambos poderiam 

mas o abuso feminino e em criança é o pior .."
"é o mais cruel, mais repugnante.",por ser o caso mais cruel e repugnante,é o mais repugnante,é o mais repugnante,é o mais cruel e repugnante
NA,descriminação,esse tipo de crime é imperdoável,muito comum esse crime hoje em dia,imperdoável
por ser mais grave. porém não se justifica linchamento em caso algum,por ser mais grave. porém não se justifica.,por ser mais grave . porém não se justifica,por ser mais grave. porém não se justifica,por ser mais grave. porém não se justifica
por vítima ser idoso.,por ser idoso,por ter matado,uma criança.,já idoso e praticando crimes.
a gravidade do crime,opor não ter  outra opção,gravidade do crime,vítima criança,gravidade do crime
eu não acho o linchamento justificável em nenhum caso.,neste caso os argumentos     são  muito fracos para haver linchamento,"porque mexer com familia ,perdemos a cabeça",molestar e mexer com criança pode haver o linchamento ninguém segura,na verdade não tem que havr o linchamento e sim a prisão perpétua
o estuprador tem que viver o mesmo que sua vítima sente e depois morte,nada justifica o crime,ágar com a morte,mote ao crime,a morte e o merecem
nao tinha opcao,assassinato nao procede,sem opcao,gangues sao covardes,molestar nao procede
"estupro é crime hediondo; mais grave quando praticado contra adolescente.
o velho parecia estar em busca de uma presa e acabou sendo pego por populares.",estupro é crime hediondo;,"crimes sexuais são execrados pela sociedade.
neste caso a opção levou em conta que a vítima era do sexo feminino.
","opção feita por exclusão do primeiro caso, no qual os linchadores seriam policiais.","também por exclusão do outro caso, no qual os linchadores seriam policiais."
NA,NA,NA,NA,NA
nos dois casos cabe o linchamento,não suporto estupradores,"novamente, não suporto estupro/molestar",estupro,molestou
"abuso e uma coisa fora dos padrões da naturalidade, bater uma carteira não requer esse rigor, mas abuso com certeza merece punições severas","molestar/abuso/assassinato e uma coisa fora dos padrões, a população não aguenta mais as impunidades, portanto a justiça com as próprias mãos viram ocorrer.","estupro/assassinato e uma coisa fora dos padrões da naturalidade, a população se encontra do limite da impunidade, portanto a justiça vem com suas próprias mãos.","todo roubo e passível de punição, mas como a justiça não existe a população se senti no dever de fazer suas próprias leis.","molestar e uma agressão que marca e pode acabar com a pessoa molestada pelo resto de sua vida, estou de acordo com tudo que e feito"
NA,nenhum caso,NA,NA,NA
por que as pessoa são perigosa,agrpalento,sjdjs,dvvgj,xjdjdjjsssj
crime grave,"nenhum, crime sem agressão fisica",crime sem violencia,violencia moral,violencia extrema
mora na vizinhança e ainda idoso.,assinou e é policia.,adolescente  e mora na vizinhança,mora na vizinhança e família da vítima.,idoso e polícial.
pôr que a excessão tornou-se comum.,NA,"porque a sociedade espera uma atitude do poder constituído, mas ela não vem...",NA,"estamos vendo, constantemente, atos contra idosos, seja homem ou mulher.."
por que é obrigado escolher sou contra qualquer linchamento.,porque é obrigado a escolher sou contra qualquer tipo de linchamento,porque é obrigado escolher ;sou contra qualquer tipo de linchamento.,"porque é obrigado escolher ,sou contra qualquer tipo de linchamento.","porque é obrigado escolher ,sou contra qualquer tipo de linchamento."
"porque fui obrigada a escolher um dos dois casos, então esse me pareceu bem mais grave porque o criminoso matou.",porque esse tipo de crime afeta o psicologico da vítima e esse trauma persiste às vezes durante toda a vida.,"bem, esse foi dificil decidir, e realmente escolhi por escolher, não encontrei nada que diferencie um e outro caso.",porque tudo que envolve criança me toca profundamente.,"também esse caso foi dificil, ambos são iguais para mim, por isso apenas escolhi um dos dois casos."
na maioria das situações os homens agridem mais,na maioria das vezes esses casos são mais comuns,são muito recorrentes,nesse caso eu diria que os dois caberiam,muito recorrente
não sei.,não sei.,não sei.,não sei.,não sei.
sou contra linchamento. acrescentem essa opção.,sou contra linchamento. acrescentem essa opção.,sou contra linchamento. acrescentem essa opção.,sou contra linchamento. acrescentem essa opção.,sou contra linchamento. acrescentem essa opção.
sou contra qualquer tipo de linchamento.,"sou contra qualquer tipo de linchamento, mas como tenho que escolher acho o estupro um crime hediondo.","sou contra qualquer tipo de linchamento, mas como tenho que escolher acho o estupro um crime hediondo.","sou contra qualquer tipo de linchamento, mas como tenho que escolher acho o assassinato um crime hediondo.","sou contra qualquer tipo de linchamento, mas como tenho que escolher acho o estupro um crime hediondo."
`por causa do estupro.,por causa do estupro.,porque molestou.,porque molestou.,NA
"como nesse país não tem leis , o cidadão faz justiça com s mãos.",o mesmo,o mesmo,estupro é nojento,não sei
porque considero mais grave o crime praticado pelo adolescente. só não concordo que matem o criminoso. acho que uma surra seria suportada melhor pelo adolescente e seria uma oportunidade de aprendizado e reflexão.,"porque o crime teve assassinato, que é mais grave do que bater uma carteira","porque se tiver um linchamento, não deve ser praticado pela policia",porque considero o estrupo mais grave,porque teve assassinato e os linchadores foram pessoas da vizinhança
"respondi por não ter outra alternativa, linchamento é injustificável","respondi por não ter outra alternativa, linchamento é injustificável","respondi por não ter outra alternativa, linchamento é injustificável","respondi por não ter outra alternativa, linchamento é injustificável","respondi por não ter outra alternativa, linchamento é injustificável"
porque a vítima se trata de uma mulher.,trata-se crime contra a mulher.,"trata-se de mulher, embora ser contra linchamentos.",tratar-se de criança.,trata-se de vitima do sexo feminino.
no caso 1 a mulher tinha um motivo para o ato,a pena de morte deve ser introduzida para o caso 2,a pena de morte deve ser introduzida para o caso 1,nao sei,a pena de morte deve ser introduzida para o caso 1
por ter que escolher um,por ter que escolher,novamente por ter de opinar,nada justifica um linchamento mas este seria passivel,sem justificativa para linchamento
achei mais justo,é mais certo,foi mais certo,horrível,inadimissivel
tirou uma vida,NA,"devido a gangue, justiça territorial","ceifou uma vida, vingança da família.",tirou uma vida e houve vingança
"comparando com o primeiro caso, esse é mais grave.

","por se tratar de uma criança, a revolta é maior.",estupro é um crime em que não há atenuantes.,"se a polícia espancar uma mulher, idosa e branca, a polícia é que vai ser linchada. então isso não vai acontecer...","carro é mais caro. e muitas vezes é o único bem da pessoa. 
tem que escolher..."
não concordo com. nenhum dos caso apenas coloquei o por não outra opção que descreva minha opinião,por falta de opção que expresse mina dela opinião,"mesmo não concordando que o linchamento seja uma opção de justiça,mais mesmo assim cape as autoridades o cargo de fazer a justiça que seja a polícia em fez da população",já que injustiça nós dois casos que seja pelas gangues por já representarem pessoas que pratica crime,a polícia e quem
na realidade nao sou a favor d linchamento,na realidade nao sou a favor de linchamento,nao sou a favor de linchamento,nao sou a favor de linchamento,nao sou a favor
tinha que escolher um. sou contra o linchamento,"geralmente , mulheres e ibdegenas sai mais vukberaveus",sou contra o linchamento,sou contra,sou contra
estupro,mora vizinhança,familia da vitima,"masculino, tem mais força",é dificil saber.
todo o crime com crianças deve haver uma execução.,"porque  eles tiram a vida de pessoas inocentes, devem pagar com a própria vida.",não existe justificativa.,o homem é mais forte,porque é policial
por ser minoria no brasil,pelas minorias no brasil.,repugnante.,nojento.,crime hediondo.
"assassinou,estrupou,crime odiondo","crime barbaro,crime em geral",acho que tirar a vida de alguem e um absurdo,estrupo e um crime dos mais absurdos,"o criminoso e inescrupuloso alem do crime ainda tem que molestar a pessoa,nao tem cabimento"
simplesmente porque tinha que escolher um caso.,em nenhuma circunstâncias linchamentos são justificáveis.,por ter que escolher um.,porque tinha que escolher 1.,porque tinha que escolher 1.
"em nenhum dos dois casos; escolhi o caso nr 2, por ser os linchadores a familia da vitima, que normalmente age por emoção.","nenhum dos dois, porque quem somos nós para julgar, fora que existe a lei para fazer isso; apesar de sabermos que nossos policiais não estão preparados para essa função.","nenhum, nesse caso menos ainda, porque os linchadores são da família da vitima.",nenhum dos dois.,nenhum dos dois.
pq assassinou um idoso sem chance de defesa. e quem linchar foram os vizinhos que conheciam a vítima.,molestou um idoso.isso é uma barbárie.,"pq molestou uma criança. e não  é pq é negro,poderia ser de qq raça.",nesse caso não  acho justo nenhum dos dois casos.mas tive que escolher um.,"pq o crime é mais sério. molestou,mesmo sendo um adulto."
assassinato.,assassinato,estupro,assassinato,assassinato
porque esta precisando mudar as leis enquanto não muda devemos fazer justiça com as proprias mãos,tem que mudar a lei,porque é muito dificil a policia prende a justiça solta e não se vê fazer justiça pra quem foi molestado é so pra bandidos,porque sim,porque não se tem justiça neste páis
nao concordo de modo algum com linchamento,nao existe justificativa para llinchamento,nao concordo com linchamento,nao tem justificativa para linchamento,nao concordo com linchamento
por ter gangues,opnioes paracidas,são muito parecidas as perguntas,por ter estrupro,por ta no lugar errado
"g
eralmmente é por fofocas","é caso de estrupo...
","estuprador

","ladrão e safado.
",sem cabeça
pela vítima ser idoso.,merece um corretivo por se folgar com os vizinhos.,abuso de criança.,estupro de adolescente.,matou a vítima
"não acredito na justificativa em qualquer dos casos, mas o fato de um ser adolescente e o outro adulto determinou a minha resposta.","igualmente não acho que existe justificativa, mas o caso 2 envolve o assassinato de uma criança.","igualmente sem justificativa, mas o estupro gera mais comoção. além disso, no caso 2, os linchadores são membros de gangues.",mesmas considerações. o estupro de uma idosa causaria mais comoção e reações mais violentas.,"não se justifica o linchamento, mas no caso 2 os autores são policiais, que deveriam garantir a lei."
NA,são contra racismo e estuprador,NA,NA,NA
NA,NA,NA,NA,NA
"porque o estupro é um crime que considero hediondo, o que ocasiona mais revolta entre os populares que presenciam ou são ligados á vítima em questão, o que acaba ocasionando comoção e revolta, favorecendo a este tipo de ""crime""","infelizmente temos muitos casos aqui no brasil de guangues que não perdoam adolescentes que furtam ou roubam as pessoas da comunidade a que eles pertencem, e justificam o linchamento até a morte desse adolescente como ""regra"" imposta por eles","porque infelizmente ainda existe racismo no brasil, e as pessoas ficam facilmente com ânimos exaltados quando são furtadas e por não acreditarem muito nas leis brasileiras, uma vez que nos pequenos furtos os criminosos pagam fiança e são liberados, eles decidem fazer justiça pelas próprias mãos e lincham o criminoso sem dar oportunidade de defesa ou segunda chance","porque como já vimos casos muito parecidos,não só aqui no brasil, mas nos estados unidos, casos de violência e morte por parte de policiais contra os negros, podemos justificar que isso acontece infelizmente, com frequência, crimes realizados por cidadãos negros e a polícia agindo com truculência e esquecer do que é certo a fazer nessas horas.ou seja, imobilizar o criminoso e levar pra delegacia, onde a lei será aplicada","porque o preconceito contra um criminoso negro é sempre maior, e neste c asdo em questão, a criminosa é de outro bairro, e o crime foi contra uma pessoa considerada indefesa por ser idosa, e com certeza a vizinhança não perdoará e irá praticar o linchamento como forma de justiça"
por molestar uma criança,por molestar uma criança,por fazer uma criança sofrer,crianças devem ser protegida,ninguém pode tirar a vida de ninguém
molestar alguém é um crime hediondo,a família não deve fazer justiça com as próprias mãos,gangues não têm nada a perder,gangues não têm nada a perder,somente pela área de residência do criminoso
"primeiramente eu sou contra o linchamento. a partir do momento que tenho que escolher, optei pelo caso de nº 2 por se tratar de um crime muito mais grave do que o roubo de um carro.","não tem como comparar um assassinato com um roubo de carteira, mesmo sendo de uma criança.","novamente, assassinato é muito mais grave que um roubo de carro, ainda mais o assassinato de uma criança.","embora molestar uma criança eu considere gravíssimo, assassinato creio ser pior.","sempre que se comparar assassinato com roubo, seja de carteira, carro ou outro objeto,
ele será sempre mais grave."
"penso em crianças sendo estupradas e mortas,idosos sendo agredidos,pre conceito com indiginas,matou alguem indefeso,com violençia e maldade,covardia","molestou crianças e mulheres, preconceito",feminiçidio extupro de crianças,"assasinos,estupradores,preconceitos",molestar crianças e mulheres com violemçia assasinato
porque não tem opção de escolher os dois!,por mim seriam os dois casos!,o dois também merece!,todos merecem!,toda essa raça de bandidos merecem muita porrada!
NA,NA,a sociedade assim os intitula.,sem comentários.,é o qual mais se adequa.
"linchamento é uma questão muito complicada, há casos e casos nem sempre a lei se faz justa. 
nesse caso molestar já penso principalmente em crianças, nesse caso considero.","bairro , comunidade unida",como mencionei acima molestar crianças.,"nada justifica um crime, mas molestar crianças é inadmissível.","criança molestada, a família com certeza na hora do nervoso não pensará duas  vezes pra agir."
vitima e uma criança,criminoso adolescete,policia não deve linchar,vitima criança,policia não deve linchar
"molestar crianças, mulheres é preciso levar uma sova","estrupo é caso de doente,não tem cura,vai fazer de novo",molestar também é uma doença sem cura,no caso foi roubo de mulher,a pessoa paga um carro com tanto esforço e vem um pra roubar
"estupro é inaceitável, apesar dos dois casos serem, quem estupra uma vez, irá fazer novamente, por isso sou a favor da pena de morte.","porque desde adolescente ela já está envolvida em crimes, a tendência é aumentar a gravidade de seus delitos.","num momento de revolta da família, ficar frente com o assassino de seu ente querido é natural agredir o bandido, não sei se teria outra atitude diante dessa situação.","independente de quem linchou, assassinar um inocente deve sentir a revolta de quem prendeu, não condeno esses policiais por assassinar uma pessoa ruim, sem índole e sem amor ao próximo, quem mata uma criança é capaz de matar qualquer pessoa.","assassinato revolta as pessoas, o linchamento aconteceu por punição ao que foi feito, infelizmente a polícia não tem esse direito, mas eu não os condeno."
pela condição da vítima e pelo crime,pelo tipo de crime,"pela situação da vítima, um idoso",pelo tipo de crime,pelo tipo de crime e condição da vítima
porque sim,NA,NA,NA,NA
por ser idoso,"se for fácil pegar o assassino do familiar, devemos vingar.",merecem,merecido mi,mereceu
por ser uma criança.,morava na vizinhança,a vitima era um idoso,a vitima era um idoso,vitima era um idoso
"vitima feminina com pouca possibilidade de defesa, e se trata de um assassinato",vitima adolescente talvez com pouca chance de defesa,"crime de assassinato com vitima mulher, adolescente, provavelmente indefesa",assassinato de vulneravel,crime de estupro de vulneravel
"por falta de opção, pois na verdade, não concordo com linchamento sob qualquer situação.","como já  afirmei, não concordo com linchamento justificado",a mesma resposta das questões anteriores,a mesma resp das questões anteriores,a mesma resp das anteriores
por tratar de incapazes de defesa,pela gravidade do crime,pela natureza do crime,"pelo gênero da vitima
",pelo genero da vitima
o assassinato é injustificável,não se justifica violência contra a mulher,as atitudes dele são ultrajantes,um adulto tem mais discernimento,"das piores atitudes de um marginal, o assassinato é o pior"
porque a polícia estava envolvida.,vítima criança e envolvimento da polícia.,a família da vítima extravasou sua raiva.,população se revoltando.,vítima criança.
"um estupro é inadimissível, e normalmente os estupradores, após solto, voltam a fazer de novo","um adolescente que estupra uma outra adolescente, principalmente sendo mulher, que não tem força suficiente para evitar, é um crime hediondo. pior de tudo, que como é de menor, não há punição e ele vai continuar agindo do mesmo modo","como é de menor, não será detido e vai voltar a agir novamente",molestar uma criança é um fato que não dá para admitir,"independente da raça do criminoso, estupro é um crime hediondo que não há perdão"
porque não pode depender de raça nem cor quem fizer coisas erradas tem que pagar,porque todos tem que pagar homens ou mulheres,mesma coisa quem faz dois errada tem que pagar,porque sim,mais ainda acho que um linchamento e ruim
não se deve molestar.,um crime mais grave.,um crime muito grave.,a policia deve resolver estes crimes.,estupro é sem perdão.
nenhum,"se for em defesa própria, policia não são assassinos agem em defesa de algo",policia não são assassinos estão defendo alguma coisa,nenhum,nenhum
por que eu não ouvir mais casos,por que é a mesma coisa do de cima,"por quer o caso ceria mais correto com caso 1
",por quer queria vingança,por quer queria vingança
"por motivo aleatorio pois nao acho o linchamento uma correção . pra correção tem q haver julgamento ,se nao há. grande problema é q as pessoas estão num estresse tão grande q agridem sem nem saber o pq .",por motivo aleatorio pois sou contra esse tipo de violencia mesmo q seja pelas autoridades ou a vizinhança,por motivo aleatorio sem um padrão de conduta qualquer já q nao tem escolha nos quesitos .,por motivo aleatorio pois sou contra esse tipo de violencia seja contra branco ou negro ou contra homem ou mulher,por motivo aleatorio pois soou contra esse tipo de violencia
tinha que responder,NA,NA,NA,NA
devido a reação dos criminosos e familiares,molestar crianças,reação da população e sempre imprevista,estupro sempre e terrivel,não importa a cor da pele  a população já não aquenta mais tantos crimes
tem muita criança sofrendo,ninguém tem o direito de tirar a vida de alguém,não temos justiça,crer em jesus cristo,não sei o que dizer
"assassinato é um crime cruel, e mesmo que o agressor seja punido,uma vítima morreu, e seus familiares e vizinhos não vão mais conviver com esta pessoa assassinada","o idoso se mostra mais indefeso, e não merece ser assasinado por ser uma vítima frágil.","crianças são por natureza indefesas, e qualquer tipo de crime associado a crianças é considerado muito cruel. o mesmo quando se refere a idosos","não interessado gênero ou raça do criminoso, assassinato é um crime cruel",estupro ē um crime ediondo
independentemente a cor merece sofrer as consequencias,cometer estupro deve ser extramente punido,independentemente por ser idoso ou tipo de raça deve ser punido,matou deve ser punido,estupro deve ser punido severamente pois ficam marcas na pessoas que sofreram o abuso que as vezes levam pra vida toda o trauma
eestuprom,assassinato,NA,NA,NA
porque não tem a opção nenhuma das duas,porque não em oura opção,porque não tem oura opção,porque não tem outra opção,porque não tem outra opção
sem justificativa plausível em ambas as partes.,em nenhum dos casos é justificativa para linchamento.,em nenhum caso.,em nenhum caso.,não se justifica um linchamento.
"pela gravidade do crime e pelavitima ser uma criança indefesa
","assassinato  
","pelo crime de assassinato e pela vítima ser criança 
",vítima ser uma criança e  por ser os pais os linchadores,por ter molestafo uma adolecente
"eu não aprovo linchamento em hipótese alguma mas só tem essas duas opções, nesse caso o assassinato de uma criança é inadmissível.","eu não aprovo linchamento em hipótese alguma mas só tem essas duas opções, nesse caso o assassinato de uma idosa também é inadmissível.","eu não aprovo linchamento em hipótese alguma mas só tem essas duas opções, nesse caso o estupro de uma criança é inadmissível.","eu não aprovo linchamento em hipótese alguma mas só tem essas duas opções, nesse caso há um empate pois tanto molestar uma adolescente como molestar ou uma criança é inadmissível.","eu não aprovo linchamento em hipótese alguma mas só tem essas duas opções, nesse caso o assassinato de um adolescente é inadmissível."
eu acho que é porque a justiça é branda. o povo não aquenta mais injustiça,porque crime de estupro é  hediondo,"assassinato é crime grave, mas no brasil a pena é muito branda",molestar não dá cadeia,a pena por assassinato  é  branda
sem comentarios,nao sei dizer,estrupo e forte,nao sei,sem comentarios
porque o criminoso molestou a vítima,o criminoso molestou uma criança,adolescente estuprar uma criança,adolescente participar de roubo,adulto estuprar adoslescente
"no caso extrupador , molestar",NA,NA,NA,NA
"tive que escolher uma das opções, então fui pelo gênero masculino, pois homens costumam ser mais violentos.",porque um idoso dificilmente conseguiria linchar alguém,porque o crime foi assassinato,a vítima foi uma criança que teria toda uma vida pela frente.,crime estupro
é desumano molestar qualquer ser humano. mas não sou favorável a linchamento. tem que haver penas severas a serem cumpridas. só respondi o que foi sugerido na pesquisa,é imperdoável tirar a vida de qualquer ser humano. mas não sou favorável a linchamento. tem que haver penas severas a serem cumpridas. só respondi o que foi sugerido na pesquisa,é imperdoável tirar a vida de qualquer ser humano. mas não sou favorável a linchamento. tem que haver penas severas a serem cumpridas. só respondi o que foi sugerido na pesquisa,é desumano molestar qualquer ser humano.  mas não sou favorável a linchamento. tem que haver penas severas a serem cumpridas. só respondi o que foi sugerido na pesquisa,é imperdoável tirar a vida de qualquer ser humano. mas não sou favorável a linchamento. tem que haver penas severas a serem cumpridas. e os crimes independem de sexo ou raça do agressor. só respondi o que foi sugerido na pesquisa
NA,NA,NA,NA,NA
"apesar de ser contra, mas neste houve um assassinato, e não somos senhores da vida e nem da morte.",houve um estupro de um ser vulnerável.,"apesar do caso 2 ter participação de um vilnerável, neste houve molestação.",crime mais hediondo,"escolha bem difícil, porém fico com aquele em que há assassinato."
"na verdade eu discordo com qualquer tipo de agressão, mas se tratando da polícia penso que ela está preparada para a situação.","na verdade eu discordo com qualquer tipo de agressão, mas escolhi esse porque ele assassinou uma adolescente. deveria ter tido uma experiência boa de vida para não tê-la assassinado. para não assassinar ninguém na verdade.","na verdade eu discordo com qualquer tipo de agressão, mas quem prática o mal, busca o mal.","na verdade eu discordo com qualquer tipo de agressão, mas quem prática o mal, busca o mal.","na verdade eu discordo com qualquer tipo de agressão, mas quem prática o mal, busca o mal."
assassinou olho por olho,assassinou,molestou,assassinou,assassinou
os populare podem agir de modo irracional desconhecem a lei podemos justificar que hajam de forma mais selvagem fazedo justiça com as prórias mãos.,família da vitíma pode ficar muita revoltada e não esperar pela justiça e agir de maneira impensada e cometer um ato que pode se converter em um crime.,escolhi novamente envolvendo populares porque é injustificavél a polícia linchar alguém,os vizinhos podem querer dar uma lição no criminoso e podem perder o controle da situação,os vizinhos podem agir no calor da revolta pelos fatores que envolvem o crime
NA,NA,NA,NA,NA
porque foi feito por gangues,porque a vitima foi um adolescente e não criança,porque a vítima foi um adulto e não criança.,"não justifica linchamento em crianças, ainda quando é os linchadores são gangues.","porque os linchadores são gangues, a vitima  é idoso (a) e foi praticado por adolescentes."
pelos atores,situação dos atores,pelo estupro,estupro,crime
pelo grau de envolvimento,pelo grau de envolvimento,pelo grau de envolvimento,pelo grau de envolvimento,pelo grau de envolvimento
homicidio de incapaz,pederasta,homicidio,homicidio,escolho os dois casos
ecolhi devido ao absurdo de linchar alguém principalmente uma mulher.,"a escolha é pelo absurdo de inchar alguém e agora principalmente por alguém q deveria dar exemplo, ou seja, a polícia.","pelo fato de se matar uma pessoa, no caso uma mulher, sem dar um julgamento
","pelo mesmo motivo dos anteriores, vítima mulher e sem julgamento devido",mulher e sem direito devido
